iImage	iCell	X	Y	Cell_area	Cell_FG_Fp_TotInt	Cell_FG_Fp_MeanInt	Cell_GFP_TotInt	Cell_GFP_MeanInt	Cell_FG_Fp_GFP_TotInt	Seg_area	Seg_n	Seg_area_max	Seg_FG_TotInt_Fp	Seg_FG_MeanInt_Fp
1	244	972.7443	431.9926	1357	63.08	0.05	1.58	0	21.71	15	2	8	2.63	0.18
1	245	972.5559	544.8745	1171	103.2	0.09	-0.2	0	68.12	151	2	147	41.06	0.21
1	246	994.7395	732.8456	2338	166.8	0.07	-0.48	0	56.63	297	8	242	63.95	0.18
1	247	1002.176	129.3182	1763	160.26	0.09	-0.07	0	63.81	239	4	140	59.92	0.21
1	248	1008.071	327.803	2300	159.66	0.07	-0.18	0	60.68	236	2	234	62.45	0.21
1	249	1012.778	963.2054	1441	237.93	0.17	0.31	0	114.71	339	5	181	112.52	0.28
1	250	1005.515	469.697	1921	116.34	0.06	0.34	0	36.92	191	4	163	41.1	0.21
1	251	1001.605	589.6397	1102	56.71	0.05	-0.21	0	40.34	74	3	69	11.14	0.13
1	252	1020.942	286.88	2441	129.29	0.05	1.48	0	33.48	234	2	219	56.76	0.23
1	253	1015.535	368.8518	2240	132.41	0.06	-0.11	0	50.35	217	3	203	44.65	0.18
1	254	1007.077	530.5283	848	79.35	0.09	-0.14	0	71.67	152	2	149	30.69	0.18
1	255	1012.627	418.1304	1817	115.42	0.06	-0.13	0	45.57	194	4	164	43.56	0.17
1	256	1013.363	819.7413	1326	151.43	0.11	0.13	0	73.13	211	1	211	52.28	0.25
1	257	1020.624	505.0256	1368	127.7	0.09	-0.1	0	81.28	227	1	227	59.04	0.26
1	258	1017.525	565.8574	1059	50.67	0.05	-0.2	0	46.14	54	4	39	9.13	0.16
1	259	1018.887	658.3134	1991	89.79	0.05	0.22	0	33.93	193	8	57	32.69	0.17
1	260	1016.178	198.2527	1318	126.2	0.1	-0.04	0	66.83	195	3	190	55.51	0.22
1	261	1027.369	923.8646	1388	180.54	0.13	0.39	0	86.76	205	5	181	68.76	0.26
1	262	1032.821	776.6218	1137	106.3	0.09	0.05	0	73.97	211	5	134	43.24	0.2
1	263	1041.466	853.1902	1730	117.14	0.07	-0.24	0	79.91	55	5	39	15.69	0.29
1	264	1036.143	240.6974	1824	236.41	0.13	0.11	0	101.13	357	2	206	109.01	0.31
1	265	1038.364	879.3521	1562	132.86	0.09	-0.19	0	63.21	69	7	17	15.53	0.22
